Section ID,Hole,Inter-hole Distance,Mean(X),Mean(Y)
0,1,,15.59931,92.59653
1,2,,16.44167,91.50069
1,3,1.440694,17.30764,90.34931
1,4,1.456973,18.15278,89.1625
1,5,1.299821,18.96528,88.14792
1,6,1.372859,19.81389,87.06875
1,7,1.468066,20.78611,85.96875
1,8,1.174471,21.49722,85.03403
1,9,1.318648,22.39931,84.07222
1,10,1.613049,23.5125,82.90486
1,11,1.175379,24.3125,82.04375
1,12,1.403037,25.31736,81.06458
1,13,1.423551,26.32083,80.05486
1,14,1.527462,27.46389,79.04167
1,15,1.489964,28.53125,78.00208
1,16,1.051062,29.32083,77.30833
1,17,1.425714,30.40278,76.37986
1,18,1.548336,31.64028,75.4493
1,19,1.419341,32.75069,74.56528
1,20,1.507242,33.96945,73.67847
1,21,1.388661,35.10938,72.88542
1,22,1.298206,36.15139,72.11111
1,23,1.416079,37.30972,71.29653
2,24,,38.50764,70.46944
2,25,1.561246,39.79306,69.58333
2,26,1.271166,40.87708,68.91944
2,27,1.35663,42.0625,68.25972
2,28,1.261372,43.15972,67.6375
2,29,1.419298,44.41528,66.97569
2,30,1.245085,45.525,66.41111
2,31,1.454341,46.84375,65.79792
2,32,1.492038,48.22569,65.23542
3,33,,49.62083,64.51944
3,34,1.306967,50.83264,64.02986
3,35,1.454002,52.18611,63.49861
3,36,1.370406,53.45903,62.99097
3,37,1.2171,54.60972,62.59444
3,38,1.359517,55.90625,62.18542
3,39,1.262907,57.11111,61.80694
3,40,1.328053,58.38264,61.42361
3,41,1.396596,59.72639,61.04306
3,42,1.65165,61.325,60.62786
3,43,1.232933,62.52292,60.33611
3,44,1.409051,63.90347,60.05417
3,45,1.188076,65.06389,59.79931
3,46,1.4491,66.49028,59.54375
3,47,1.437366,67.90694,59.30069
3,48,1.442254,69.3375,59.11736
3,49,1.282797,70.60417,58.91458
3,50,1.317696,71.9118,58.75208
3,51,1.438043,73.34722,58.66528
3,52,1.377873,74.71597,58.50694
3,53,1.285725,76.0007,58.45625
3,54,1.535696,77.53472,58.38472
3,55,1.228413,78.7625,58.34514
3,56,1.471553,80.23403,58.3368
3,57,1.209925,81.44375,58.35903
3,58,1.438861,82.88195,58.40278
3,59,1.296417,84.17639,58.47431
3,60,1.450131,85.61667,58.64306
3,61,1.289275,86.90278,58.73333
3,62,1.441071,88.33889,58.85278
3,63,1.205758,89.52639,59.0618
3,64,1.606111,91.12361,59.23056
3,65,1.121656,92.23333,59.39375
3,66,1.431893,93.65104,59.59479
3,67,1.30958,94.9382,59.83611
3,68,1.490374,96.40139,60.11945
3,69,1.128097,97.5,60.37569
4,70,,99.10347,60.70972
5,71,,100.40834,61.12222
5,72,1.530292,101.88334,61.52986
5,73,1.181626,103.0257,61.83194
6,74,,105.04514,62.17153
6,75,1.209587,106.19445,62.54861
7,76,1.390757,107.51597,62.98194
7,77,1.259985,108.69444,63.42778
7,78,1.430105,110.05486,63.86875
7,79,1.179606,111.14583,64.31736
7,80,1.428043,112.48021,64.82604
7,81,1.259015,113.64028,65.31528